uuid,type,img,baked_img,sc_baked_img,name,rarity,team,team_short_name,ovr,series,series_texture_name,series_year,display_position,display_secondary_positions,jersey_number,age,bat_hand,throw_hand,weight,height,born,is_hitter,stamina,pitching_clutch,hits_per_bf,k_per_bf,bb_per_bf,hr_per_bf,pitch_velocity,pitch_control,pitch_movement,contact_left,contact_right,power_left,power_right,plate_vision,plate_discipline,batting_clutch,bunting_ability,drag_bunting_ability,hitting_durability,fielding_durability,fielding_ability,arm_strength,arm_accuracy,reaction_time,blocking,speed,baserunning_ability,baserunning_aggression,hit_rank_image,fielding_rank_image,pitches,quirks,is_sellable,has_augment,augment_text,augment_end_date,has_matchup,stars,trend,new_rank,has_rank_change,event,set_name,is_live_set,ui_anim_index
610ed4481667e4e4bc31f7c55757a052,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVdSOWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--881dc812ef242e03b28f5e39a6eb881314985682/de830ab8d132a7c6d48a54dc9a5020a9.jpg,https://cards.theshow.com/mlb23/610ed4481667e4e4bc31f7c55757a052-baked.webp,,A.J. Minter,Silver,Braves,ATL,76,Live,,2017,RP,,33,29,L,L,215 lbs,"6'0""",Texas,False,23,75,72,77,75,75,86,82,97,0,0,0,0,0,0,0,63,0,0,93,44,59,57,34,0,25,0,4,,,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 95, 'movement': 79}, {'name': 'Cutter', 'speed': 90, 'control': 70, 'movement': 97}, {'name': 'Circle Change', 'speed': 88, 'control': 83, 'movement': 77}]","[{'name': 'Homebody', 'description': 'Performs better when playing at home', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdDNQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b56c9801d77d53b3b2cc3458fb6eef5c764b7c68/GPerk_Homebody.webp'}, {'name': 'Pick Off Artist', 'description': 'Has an extremely effective pickoff move', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVhQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--27109bda2b28ebf2e3f770c11e360b5eef9b607a/GPerk_PickOffArtist.webp'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUxQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d8905046868809ab55cad576089aa81ecbf05af3/GPerk_NightPlayer.webp'}]",True,False,,,False,,,76,False,False,CORE,True,0
dfc0027bffc6697be1d13654b1b9ef38,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclRCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--516d0618a3cf1feea052dc27bc442576a90caa6a/63987bfc2def351de9911720e226748a.webp,https://cards.theshow.com/mlb23/dfc0027bffc6697be1d13654b1b9ef38-baked.webp,,A.J. Puk,Silver,Marlins,MIA,78,Live,,2017,RP,,35,27,L,L,248 lbs,"6'7""",Minnesota,False,24,55,73,72,88,65,99,72,99,0,0,0,0,2,0,0,37,10,0,77,45,79,50,33,0,42,0,12,,,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 79, 'movement': 99}, {'name': 'Slider', 'speed': 87, 'control': 74, 'movement': 76}, {'name': 'Sinker', 'speed': 95, 'control': 80, 'movement': 95}, {'name': 'Circle Change', 'speed': 88, 'control': 57, 'movement': 66}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTdQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e17b93fd7f4214ac5d51dd01c535c21714ba5ce9/GPerk_RoadWarrior.webp'}]",True,False,,,False,,,78,False,False,CORE,True,0
8b8369fc782a66a1118bd9eda89ebc07,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBait0IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9e662424acef7021e937e56c72e8e8cc73ee81dc/ff05e474d5c6a9694c16e722d5f3bfb8.webp,https://cards.theshow.com/mlb23/8b8369fc782a66a1118bd9eda89ebc07-baked.webp,,Aaron Bummer,Bronze,White Sox,CWS,68,Live,,2017,RP,,39,29,L,L,215 lbs,"6'3""",California,False,24,63,64,74,45,82,96,76,99,0,0,0,0,2,0,0,64,0,0,77,48,77,50,53,0,20,0,7,,,"[{'name': 'Sinker', 'speed': 95, 'control': 68, 'movement': 99}, {'name': 'Slider', 'speed': 82, 'control': 94, 'movement': 99}, {'name': 'Cutter', 'speed': 86, 'control': 67, 'movement': 80}]",[],True,False,,,False,,,68,False,False,CORE,True,0
1b34752d7d09fd5c529274c90bfe5f8e,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTXdBZXdVPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5b71ea5dcfe4cf4e352053c4441a2fcc9dca06df/1b28636cf3c7b18289d80ecb23428cd6.webp,https://cards.theshow.com/mlb23/1b34752d7d09fd5c529274c90bfe5f8e-baked.webp,,Aaron Civale,Silver,Rays,TB,78,Live,,2017,SP,,34,27,R,R,215 lbs,"6'2""",Connecticut,False,78,88,73,57,75,75,75,78,98,0,0,0,0,0,17,0,63,1,0,78,45,68,49,40,0,40,0,12,,,"[{'name': 'Cutter', 'speed': 86, 'control': 94, 'movement': 90}, {'name': 'Curveball', 'speed': 76, 'control': 85, 'movement': 98}, {'name': 'Sinker', 'speed': 91, 'control': 85, 'movement': 53}, {'name': '4-Seam Fastball', 'speed': 91, 'control': 68, 'movement': 65}, {'name': 'Slider', 'speed': 80, 'control': 62, 'movement': 85}]",[],True,False,,,False,,,78,False,False,CORE,True,0
4d78ebf86f5ae4db24143c8a2af603b2,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQmhYd3dJPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8e3e944dad9d4b8965ae4e85e066c8787fb0779d/a3a0032fd8fc59fb88c22df62b54560f.jpg,https://cards.theshow.com/mlb23/4d78ebf86f5ae4db24143c8a2af603b2-baked.webp,,Aaron Hicks,Silver,Orioles,BAL,79,Live,,2017,LF,"CF, RF",34,33,S,R,205 lbs,"6'1""",California,True,0,0,0,0,0,0,0,10,10,90,55,71,58,65,90,70,45,42,79,0,64,88,81,56,0,64,25,47,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWpTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62892dda92c86ec37891e2e1b66c18bdb35929e2/shield-silver.webp,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWpTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62892dda92c86ec37891e2e1b66c18bdb35929e2/shield-silver.webp,[],"[{'name': 'Fighter', 'description': 'Performs better in the 9th inning or later', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdG5QIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f5d8df4694b7d6b3e144477a8315125bc586ee8f/GPerk_Fighter.webp'}]",True,False,,,False,,,79,False,True,CORE,True,0
0fbc90ea428a06eae66e4e7807decf8b,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbzY1IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bd0baa18295daddf31c2775ae6b58ae2f91453dd/8c5b9ca405aebaf21d61a8a9f950ae57.webp,https://cards.theshow.com/mlb23/0fbc90ea428a06eae66e4e7807decf8b-baked.webp,,Aaron Judge,Diamond,Yankees,NYY,95,Live,,2017,RF,"LF, CF",99,30,R,R,282 lbs,"6'7""",California,True,0,0,0,0,0,0,0,10,10,77,92,120,125,38,109,99,35,25,96,0,76,88,96,51,0,54,52,47,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWJTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0302100e855dca83eecb9f3eba5ec4c6cf645449/shield-diamond.webp,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWZTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--aaae9759e9c12cf87f352fc5009a7fed4f95e158/shield-gold.webp,[],"[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTdQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e17b93fd7f4214ac5d51dd01c535c21714ba5ce9/GPerk_RoadWarrior.webp'}, {'name': 'First-Pitch Hitter', 'description': 'Excels at hitting the first pitch of an at-bat', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdHJQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bd4a3ce39552732bbe2e0800c35cdab25b2c3d2a/GPerk_FirstPitchHitter.webp'}, {'name': 'Dead Red', 'description': 'Excels at hitting fastballs', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGZQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--443caf7e560033fec734872cf23a7deb0315b133/GPerk_DeadRed.webp'}, {'name': 'Breaking Ball Hitter', 'description': 'Excels at hitting breaking balls', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdERQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5b79398d56382afda39a3b998695b7b262c6e6dd/GPerk_BreakingBallHitter.webp'}, {'name': 'Unfazed', 'description': 'Excels at hitting with 2 strikes', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdnJQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2b4f97e14ab7ae7b08c051c0626863baf42caf3e/GPerk_Unfazed.webp'}, {'name': 'Fighter', 'description': 'Performs better in the 9th inning or later', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdG5QIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f5d8df4694b7d6b3e144477a8315125bc586ee8f/GPerk_Fighter.webp'}, {'name': 'Rally Monkey', 'description': 'Performs better when team is behind', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTNQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--facb456bc51c760c5d746a9b9f26316e566f890a/GPerk_RallyMonkey.webp'}, {'name': 'Situational Hitter', 'description': 'Excels at driving in a runner from third with less than 2 outs', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdkhQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--982ccb23217194eb92d30ddd1e7de917f3b98237/GPerk_SituationalHitter.webp'}, {'name': 'Night Player', 'description': 'Performs better when playing night games', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUxQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d8905046868809ab55cad576089aa81ecbf05af3/GPerk_NightPlayer.webp'}, {'name': 'Table Setter', 'description': 'Performs better when no runners are on', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmZQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bdde803b4c734d4c20d57cadd77bfefabf7a3cbd/GPerk_TableSetter.webp'}]",True,False,,,False,,,95,False,True,CORE,True,1
866ed6474ae197052573169977a3e66f,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEs2IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9eb2ae307fc9425f32262668a7062700a169984f/222ad4a5e31de898e57906901c91e46f.webp,https://cards.theshow.com/mlb23/866ed6474ae197052573169977a3e66f-baked.webp,,Aaron Loup,Bronze,Angels,LAA,66,Live,,2017,RP,,28,35,L,L,210 lbs,"5'11""",Louisiana,False,24,68,63,55,66,81,74,71,92,0,0,0,0,2,0,0,64,0,0,80,51,53,46,16,0,13,0,0,,,"[{'name': 'Sinker', 'speed': 91, 'control': 80, 'movement': 92}, {'name': 'Cutter', 'speed': 85, 'control': 80, 'movement': 60}, {'name': 'Circle Change', 'speed': 80, 'control': 75, 'movement': 85}, {'name': 'Slurve', 'speed': 76, 'control': 50, 'movement': 76}]",[],True,False,,,False,,,66,False,False,CORE,True,0
e2e495edc31bdc4fe9517af2ddcb3202,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMjZOOWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c5c211d0fb5bc4089a161a863f2f0177e467ee70/8b74dd99068908ffc2ab1f27a959b8e1.webp,https://cards.theshow.com/mlb23/e2e495edc31bdc4fe9517af2ddcb3202-baked.webp,,Aaron Nola,Gold,Phillies,PHI,84,Live,,2017,SP,,27,29,R,R,200 lbs,"6'2""",Louisiana,False,87,71,76,67,84,52,81,67,96,0,6,0,0,0,55,0,70,25,0,77,66,62,68,38,0,25,0,0,,,"[{'name': '4-Seam Fastball', 'speed': 93, 'control': 75, 'movement': 96}, {'name': 'Knuckle-curve', 'speed': 79, 'control': 75, 'movement': 89}, {'name': 'Sinker', 'speed': 92, 'control': 64, 'movement': 83}, {'name': 'Circle Change', 'speed': 86, 'control': 62, 'movement': 72}, {'name': 'Cutter', 'speed': 87, 'control': 62, 'movement': 65}]","[{'name': 'Road Warrior', 'description': 'Performs better when playing on the road', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTdQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e17b93fd7f4214ac5d51dd01c535c21714ba5ce9/GPerk_RoadWarrior.webp'}, {'name': 'Day Player', 'description': 'Performs better when playing day games', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGJQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3ffe526e80a5852d336988d7d23a2303497ab625/GPerk_DayPlayer.webp'}, {'name': 'Break Outlier', 'description': 'Pitchers lose less break when tired', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcy9QIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6ac1ef4837d1bd0dc459d177e701e4089302f596/GPerk_BreakOutlier.webp'}]",True,False,,,False,,,84,False,False,CORE,True,0
0379b86902c34a9281d793eafea993bb,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjdMIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bf78d2105eea36ce7cee5198239ad8bf9a2afe66/833dcc64597c333a934e23481b950e0b.webp,https://cards.theshow.com/mlb23/0379b86902c34a9281d793eafea993bb-baked.webp,,Abner Uribe,Common,Brewers,MIL,61,Live,,2017,RP,,45,22,R,R,225 lbs,"6'3""",Dominican Republic,False,34,54,60,64,33,53,91,52,56,6,4,5,2,11,13,9,38,5,0,75,44,94,43,38,0,37,6,5,,,"[{'name': '4-Seam Fastball', 'speed': 97, 'control': 59, 'movement': 54}, {'name': 'Slider', 'speed': 88, 'control': 54, 'movement': 56}, {'name': 'Changeup', 'speed': 85, 'control': 38, 'movement': 46}, {'name': '2-Seam Fastball', 'speed': 95, 'control': 58, 'movement': 54}]",[],True,False,,,False,,,61,False,True,CORE,True,0
e5b9f5bf64efb0aac1c0530df7b26150,mlb_card,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcURJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--17217960a60cb95c83745959ee1adbdafab123ce/0d9de16de82cb7bf263f6ff28f0388a2.webp,https://cards.theshow.com/mlb23/e5b9f5bf64efb0aac1c0530df7b26150-baked.webp,,Abraham Toro,Bronze,Brewers,MIL,71,Live,,2017,2B,"1B, 3B",13,26,S,R,223 lbs,"6'0""",Canada,True,0,0,0,0,0,0,0,10,10,45,36,33,66,74,51,68,35,25,67,0,67,58,73,65,0,66,18,18,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVhTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1bef2308eadff2a9131af2da140024355e699d5d/shield-common.webp,https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVRTIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b55ed558596fda7637b53d9920ed3e7e96137ae6/shield-bronze.webp,[],"[{'name': 'Situational Hitter', 'description': 'Excels at driving in a runner from third with less than 2 outs', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdkhQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--982ccb23217194eb92d30ddd1e7de917f3b98237/GPerk_SituationalHitter.webp'}, {'name': 'Pinch Hitter', 'description': 'Excels at pinch hitting', 'img': 'https://mlb23.theshow.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdWZQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a452478c4ebeae6c26888ab292d8511725080b8a/GPerk_PinchHitter.webp'}]",True,False,,,False,,,71,False,True,CORE,True,0
